Connection Manager, v.0.2, build, 1476402617004, good, , Default12345
Connection Manager, v.0.2, unit test, 1476402617040, doubtful, , Default12345
Admin Interface, v.1.0, build, 1476402681380, good, , Default12345
DB Utilities Oracle, incident response environment, build, 1476402681466, good, , Default12345
Authentication, v.1.0, build, 1476402681500, good, , Default12345
Admin Interface, incident response environment, build, 1476402681562, good, , Default12345
DB Utilities MySQL, v.0.3, build, 1476402681641, good, , Default12345
Authentication, incident response environment, build, 1476402681709, doubtful, , Default12345
Authentication, v.1.0, unit test, 1476402681742, doubtful, , Default12345
CC Processing, v.0.3, build, 1476402681776, good, , Default12345
User Interface, incident response environment, build, 1476402681809, doubtful, , Default12345
Python Interface, incident response environment, build, 1476402681840, good, , Default12345
Authentication, v.0.3, build, 1476402681867, fail, , Default12345
DB Utilities MySQL, incident response environment, build, 1476402681893, good, , Default12345
Messages Spanish, incident response environment, build, 1476402681920, good, , Default12345
User Interface, v.1.0, build, 1476402682007, good, , Default12345
Messages English, v.1.0, build, 1476402682089, doubtful, , Default12345
Python Interface, v.0.2, build, 1476402682140, good, , Default12345
Data Objects, incident response environment, build, 1476402682184, good, , Default12345
Admin Interface, v.0.2, build, 1476402682219, good, , Default12345
Connection Manager, v.1.0, build, 1476402682265, doubtful, , Default12345
User Interface, v.0.2, build, 1476402682310, good, , Default12345
Connection Manager, v.0.2, build, 1476402682341, good, , Default12345
Python Interface, v.0.3, build, 1476402682380, good, , Default12345
Customer Management, v.0.2, build, 1476402682411, good, , Default12345
CC Processing, v.0.2, build, 1476402682469, good, , Default12345
Messages Spanish, v.1.0, build, 1476402682504, fail, , Default12345
Messages Spanish, incident response environment, unit test, 1476402682536, good, , Default12345
User Interface, v.0.2, unit test, 1476402682573, doubtful, , Default12345
Data Objects, v.0.2, build, 1476402682609, fail, , Default12345
DB Utilities Oracle, incident response environment, unit test, 1476402682648, fail, , Default12345
Authentication, incident response environment, unit test, 1476402682682, fail, , Default12345
DB Utilities MySQL, v.0.2, build, 1476402682713, fail, , Default12345
DB Utilities Oracle, v.1.0, build, 1476402682740, good, , Default12345
Customer Management, incident response environment, build, 1476402682769, doubtful, , Default12345
User Interface, v.0.3, build, 1476402682795, doubtful, , Default12345
DB Utilities MySQL, v.1.0, build, 1476402682822, good, , Default12345
Partner Interface, v.1.0, build, 1476402682848, good, , Default12345
Connection Manager, v.0.2, unit test, 1476402682875, doubtful, , Default12345
Partner Interface, v.1.0, unit test, 1476402682953, fail, , Default12345
Image Processing, incident response environment, build, 1476402682981, fail, , Default12345
Authentication, v.0.3, unit test, 1476402683024, good, , Default12345
Authentication, incident response environment, quality assurance scans, 1476402683054, doubtful, , Default12345
Customer Management, v.0.2, unit test, 1476402683088, good, , Default12345
Messages Spanish, v.0.3, build, 1476402683123, good, , Default12345
Messages Mandarin, v.1.0, build, 1476402683159, fail, , Default12345
DB Utilities Oracle, incident response environment, quality assurance scans, 1476402683189, good, , Default12345
Connection Manager, v.0.3, build, 1476402683219, doubtful, , Default12345
User Interface, v.1.0, unit test, 1476402683245, doubtful, , Default12345
Connection Manager, v.0.2, quality assurance scans, 1476402683272, good, , Default12345
Data Objects, v.0.3, build, 1476402683301, good, , Default12345
Python Interface, v.1.0, build, 1476402683332, fail, , Default12345
Connection Manager, v.0.2, packaging, 1476402683366, doubtful, , Default12345
DB Utilities MySQL, v.0.2, unit test, 1476402683403, good, , Default12345
Authentication, v.0.3, quality assurance scans, 1476402683434, doubtful, , Default12345
Messages English, v.0.3, build, 1476402683473, doubtful, , Default12345
DB Utilities MySQL, v.0.3, unit test, 1476402683511, doubtful, , Default12345
Data Objects, incident response environment, unit test, 1476402683548, good, , Default12345
Partner Interface, v.1.0, quality assurance scans, 1476402683579, doubtful, , Default12345
Messages English, incident response environment, build, 1476402683613, doubtful, , Default12345
CC Processing, incident response environment, build, 1476402683648, good, , Default12345
Admin Interface, v.0.2, unit test, 1476402683681, good, , Default12345
Authentication, v.0.3, packaging, 1476402683726, doubtful, , Default12345
Admin Interface, v.1.0, unit test, 1476402683756, good, , Default12345
Admin Interface, v.1.0, quality assurance scans, 1476402683783, fail, , Default12345
Customer Management, incident response environment, unit test, 1476402683811, fail, , Default12345
Admin Interface, incident response environment, unit test, 1476402683835, good, , Default12345
Python Interface, v.0.2, unit test, 1476402683862, doubtful, , Default12345
DB Utilities MySQL, incident response environment, unit test, 1476402683891, fail, , Default12345
Image Processing, v.0.2, build, 1476402683914, good, , Default12345
Python Interface, v.0.3, unit test, 1476402683939, good, , Default12345
Connection Manager, incident response environment, build, 1476402683967, good, , Default12345
Partner Interface, v.0.3, build, 1476402683997, doubtful, , Default12345
Admin Interface, incident response environment, quality assurance scans, 1476402684029, good, , Default12345
Connection Manager, incident response environment, unit test, 1476402684054, good, , Default12345
